ID,Label,Code,City,latitude,longitude,Visits
0,Adams Field Airport,LIT,"Little Rock, AR",34.729444,-92.224444,105
1,Akron/canton Regional,CAK,"Akron/Canton, OH",40.916111,-81.442222,123
2,Albany International,ALB,Albany,42.733333,-73.8,129
3,Albemarle,CHO,Charlottesville,38.133333,-78.45,114
4,Albuquerque International,ABQ,Albuquerque,35.040278,-106.609167,105
5,Alexandria International,AEX,"Alexandria, LA",31.3275,-92.548611,93
6,Alpena County Regional,APN,Alpena,45.083333,-83.55,135
7,Arcata,ACV,Arcata,40.983333,-124.1,123
8,Asheville Regional Airport,AVL,Fletcher,35.436111,-82.541667,105
9,Austin-bergstrom International,AUS,Austin,30.194444,-97.67,90
10,Austin-straubel Field,GRB,Green Bay,44.483333,-88.133333,132
11,Baltimore/Washington International Thurgood Marshall,BWI,"Baltimore, MD",39.175278,-76.668333,117
12,Bangor International Airport,BGR,Bangor,44.8,-68.816667,135
13,Barkley Regional,PAH,"Paducah, KY",37.060278,-88.773056,111
14,Bay County,PFN,Panama City,30.216667,-85.683333,90
15,Bellingham,BLI,Bellingham,48.8,-122.533333,147
16,Bemidji,BJI,Bemidji,47.516667,-94.933333,144
17,Bert Mooney Airport,BTM,"Butte,",45.954722,-112.4975,138
18,Billings,BIL,Billings,45.8,-108.533333,138
19,Birmingham,BHM,Birmingham,33.566667,-86.75,102
20,Bishop International Airport,FNT,Flint,42.965556,-83.743611,129
21,Bismarck,BIS,Bismarck,46.783333,-100.75,141
22,Blue Grass,LEX,Lexington,38.036389,-84.605833,114
23,Bob Hope,BUR,Burbank,34.2,-118.35,102
24,Boise Air Terminal/Gowen Field,BOI,"Boise, ID",43.564444,-116.222778,132
25,Bradley International,BDL,"Windsor Locks, CT",41.938889,-72.683333,126
26,Brainerd Lakes Regional,BRD,"Brainerd, MN",46.401667,-94.135556,138
27,Buffalo Niagara International,BUF,"Buffalo, NY",42.940556,-78.732222,129
28,Burlington International,BTV,Burlington,44.471944,-73.153333,132
29,Bush Field,AGS,Augusta,33.366667,-81.966667,99
30,Capital City,LAN,Lansing,42.783333,-84.583333,129
31,Cedar Rapids,CID,Cedar Rapids,41.884722,-91.710833,126
32,Central Illinois Regional Airport at Bloomington-Normal,BMI,"Bloomington/Normal, IL",40.477222,-88.915833,120
33,Central Wisconsin,CWA,Wausau,44.769444,-89.683056,135
34,"Charleston, AFB Municipal",CHS,"Charleston, SC",32.898611,-80.040556,99
35,Charlotte Douglas,CLT,Charlotte,35.216667,-80.933333,105
36,Cherry Capital Airport,TVC,Traverse City,44.741389,-85.582222,135
37,Chicago O'hare International,ORD,"Chicago, Il",41.978611,-87.904722,126
38,Chippewa County,CIU,Sault Ste Marie,46.25,-84.466667,138
39,Chippewa Valley Regional Airport,EAU,"Eau Claire, WI",44.865833,-91.484167,135
40,Chisholm,HIB,Chisholm,47.383333,-92.833333,141
41,Cincinnati/northern Kentucky,CVG,"Covington, KY",39.048889,-84.667778,117
42,City County,HVR,Havre,48.55,-109.766667,147
43,Colorado Springs,COS,Colorado Springs,38.816667,-104.716667,117
44,Dallas/Fort Worth International,DFW,"Dallas, TX",32.896944,-97.038056,99
45,Dane County Regional,MSN,Madison,43.139722,-89.3375,129
46,Dannelly Fld,MGM,Montgomery,32.3,-86.4,96
47,Dawson Community,GDV,Glendive,47.133333,-104.683333,141
48,Denver International,DEN,Denver,39.861667,-104.673056,120
49,Des Moines International,DSM,"Des Moines, IA",41.533889,-93.663056,126
50,Detroit Metropolitan Wayne County,DTW,"Detroit, MI",42.2125,-83.353333,126
51,Devils Lake,DVL,Devils Lake,48.116667,-98.9,144
52,Dothan Arpt,DHN,Dothan,31.316667,-85.45,93
53,Duluth International,DLH,Duluth,46.833333,-92.183333,141
54,Eagle County,EGE,Vail/Eagle,39.633333,-106.916667,120
55,Eglin AFB,VPS,"Valparaiso, FL",30.483333,-86.525278,90
56,El Paso International Airport,ELP,El Paso,31.8,-106.383333,96
57,Elmira Corning Regional,ELM,"Corning, NY",42.166667,-76.9,126
58,Emmet County,PLN,Pellston,45.566667,-84.8,138
59,Eppley Airfield,OMA,Omaha,41.3,-95.9,123
60,Eugene,EUG,Eugene,44.116667,-123.216667,132
61,Evansville Regional Airport,EVV,"Evansville, IN",38.036944,-87.5325,114
62,Falls Intl,INL,International Falls,48.566667,-93.4,147
63,Fanning Field,IDA,Idaho Falls,43.516667,-112.066667,132
64,Fort Dodge Regional,FOD,"Fort Dodge, IA",42.551111,-94.191944,129
65,Fort Lauderdale/hollywood International,FLL,"Fort Lauderdale, FL",26.0725,-80.152778,78
66,Fresno Air Terminal Airport,FAT,Fresno,36.766667,-119.716667,111
67,Gainesville Regional,GNV,Gainesville,29.683333,-82.266667,90
68,Gallatin Field,BZN,Bozeman,45.7775,-111.153056,138
69,General Mitchell International,MKE,Milwaukee,42.95,-87.9,129
70,George Bush Intercontinental,IAH,Houston,29.984444,-95.341389,90
71,Glacier Park International,FCA,"Kalispell, MT",48.316667,-114.266667,144
72,Grand Forks,GFK,Grand Forks,47.95,-97.183333,144
73,Greater Binghamton,BGM,"Binghamton, NY",42.208611,-75.979722,126
74,Greater Peoria,PIA,"Peoria, IL",40.666667,-89.683333,123
75,Greater Rochester International,ROC,"Rochester, NY",43.118889,-77.6725,129
76,Greenville,GLH,Greenville,33.477222,-90.985,99
77,Greenville Spartanbur Int'l Airport,GSP,Greenville,34.895556,-82.218889,105
78,Gulfport-Biloxi International,GPT,Gulfport,30.4,-89.066667,90
79,Harrisburg International,MDT,"Harrisburg, PA",40.193611,-76.763333,120
80,Hartsfield-jackson Atlanta International,ATL,"Atlanta, GA",33.636667,-84.428056,102
81,Hattiesburg-Laurel Regional,PIB,"Hattiesburg/Laurel, MS",31.467222,-89.336944,93
82,Hector Field,FAR,Fargo,46.916667,-96.816667,141
83,Helena,HLN,Helena,46.6,-111.983333,141
84,Hopkins International,CLE,Cleveland,41.416667,-81.85,123
85,Houghton County,CMX,Hancock,47.123611,-88.573333,141
86,Huntsville International - Carl T. Jones Field,HSV,"Huntsville, AL",34.637222,-86.775,105
87,Indianapolis International,IND,"Indianapolis, IN",39.717222,-86.294722,120
88,International,ERI,Erie,42.083333,-80.183333,126
89,International,GGW,Glasgow,48.216667,-106.616667,144
90,International,GTF,Great Falls,47.5,-111.366667,144
91,International,EYW,Key West,24.55,-81.766667,75
92,International,MOT,Minot,48.266667,-101.283333,144
93,International,RST,Rochester,43.908333,-92.5,132
94,International,OLF,Wolf Point,48.083333,-105.566667,144
95,Intl Jetport,PWM,Portland,43.65,-70.3,132
96,Jackson-evers,JAN,Jackson,32.311111,-90.075833,96
97,"Jacksonville,",JAX,"Jacksonville, FL",30.416667,-81.633333,90
98,James Cox Dayton Intl,DAY,"Dayton, Oh",39.75,-84.183333,120
99,Jamestown,JMS,Jamestown,46.933333,-98.683333,141
100,Jefferson County,BPT,Beaumont,30.083333,-94.1,90
101,Joe Foss Field Airport,FSD,Sioux Falls,43.581944,-96.741944,132
102,John F Kennedy Intl,JFK,New York,40.633333,-73.783333,123
103,John Wayne,SNA,"Santa Ana, CA",33.666667,-117.866667,102
104,Kalamazoo/Battle Creek Intl,AZO,Kalamazoo,42.235,-85.551944,126
105,Kansas City International Airport,MCI,Kansas City,39.291667,-94.730556,117
106,Kent County Intl,GRR,Grand Rapids,42.883333,-85.533333,129
107,Key Field,MEI,Meridian,32.333333,-88.75,96
