"X1558","X1567","X3B","X3B.1"
1560,1570,"3B","3B"
1567,1574,"3B","3B"
1632,1818,"4B","4B"
1632,1866,"4B","4B"
1673,1698,"1B","1B"
1819,1836,"4B","4B"
1819,1866,"4B","4B"
1558,1567,"3B","3B"
1567,1574,"3B","3B"
1632,1818,"4B","4B"
1632,1866,"4B","4B"
1673,1698,"1B","1B"
1741,1820,"3A","3A"
1809,1822,"3A","3A"
1819,1836,"4B","4B"
1558,1564,"3B","3B"
1558,1567,"3B","3B"
1560,1570,"3B","3B"
1564,1567,"3B","3B"
1564,1574,"3B","3B"
1567,1574,"3B","3B"
1632,1866,"4B","4B"
1673,1698,"1B","1B"
1741,1820,"3A","3A"
1768,1783,"1A","1A"
1802,1805,"4B","4B"
1802,1831,"4B","4B"
1503,1545,"4A","4A"
1558,1564,"3B","3B"
1558,1567,"3B","3B"
1564,1567,"3B","3B"
1564,1574,"3B","3B"
1567,1574,"3B","3B"
1632,1818,"4B","4B"
1632,1819,"4B","4B"
1632,1866,"4B","4B"
1673,1698,"1B","1B"
1757,1760,"1A","1A"
1802,1805,"4B","4B"
1459,1516,"5A","5A"
1558,1567,"3B","3B"
1567,1574,"3B","3B"
1617,1641,"2A","2A"
1632,1866,"4B","4B"
1673,1698,"1B","1B"
1757,1761,"1A","1A"
1809,1822,"3A","3A"
1452,1498,"5A","5A"
1452,1520,"5A","5A"
1468,1520,"5A","5A"
1498,1520,"5A","5A"
1502,1522,"5A","5A"
1503,1539,"4A","4A"
1617,1641,"2A","2A"
1643,1648,"2A","2A"
1673,1698,"1B","1B"
1752,1778,"1A","1A"
1761,1783,"1A","1A"
1766,1770,"1A","1A"
1767,1787,"1A","1A"
1774,1778,"1A","1A"
1452,1477,"5A","5A"
1452,1483,"5A","5A"
1452,1498,"5A","5A"
1457,1468,"5A","5A"
1457,1502,"5A","5A"
1459,1483,"5A","5A"
1459,1498,"5A","5A"
1459,1520,"5A","5A"
1468,1520,"5A","5A"
1477,1498,"5A","5A"
1479,1502,"5A","5A"
1503,1539,"4A","4A"
1558,1567,"3B","3B"
1567,1574,"3B","3B"
1606,1616,"2A","2A"
1613,1628,"2A","2A"
1617,1641,"2A","2A"
1643,1648,"2A","2A"
1673,1698,"1B","1B"
1723,1809,"3A","3A"
1723,1822,"3A","3A"
1757,1783,"1A","1A"
1757,1792,"1A","1A"
1767,1787,"1A","1A"
1809,1822,"3A","3A"
1451,1493,"5A","5A"
1451,1495,"5A","5A"
1452,1458,"5A","5A"
1452,1477,"5A","5A"
1452,1498,"5A","5A"
1452,1520,"5A","5A"
1458,1461,"5A","5A"
1458,1477,"5A","5A"
1459,1483,"5A","5A"
1459,1498,"5A","5A"
1461,1493,"5A","5A"
1461,1495,"5A","5A"
1477,1520,"5A","5A"
1483,1498,"5A","5A"
1483,1520,"5A","5A"
1493,1495,"5A","5A"
1498,1520,"5A","5A"
1503,1539,"4A","4A"
1560,1570,"3B","3B"
1606,1616,"2A","2A"
1617,1641,"2A","2A"
1632,1818,"4B","4B"
1673,1698,"1B","1B"
1723,1822,"3A","3A"
1767,1787,"1A","1A"
1802,1835,"4B","4B"
1452,1458,"5A","5A"
1452,1477,"5A","5A"
1452,1522,"5A","5A"
1453,1457,"5A","5A"
1458,1461,"5A","5A"
1458,1477,"5A","5A"
1458,1502,"5A","5A"
1459,1498,"5A","5A"
1459,1520,"5A","5A"
1461,1502,"5A","5A"
1468,1522,"5A","5A"
1477,1522,"5A","5A"
1479,1495,"5A","5A"
1498,1520,"5A","5A"
1558,1564,"3B","3B"
1560,1570,"3B","3B"
1564,1567,"3B","3B"
1564,1574,"3B","3B"
1567,1574,"3B","3B"
1632,1818,"4B","4B"
1643,1648,"2A","2A"
1673,1698,"1B","1B"
1711,1759,"1A","1A"
1723,1822,"3A","3A"
1741,1782,"3A","3A"
1741,1801,"3A","3A"
1757,1792,"1A","1A"
1766,1772,"1A","1A"
1767,1787,"1A","1A"
1774,1775,"1A","1A"
1802,1805,"4B","4B"
1802,1831,"4B","4B"
1805,1831,"4B","4B"
1452,1477,"5A","5A"
1452,1498,"5A","5A"
1452,1520,"5A","5A"
1453,1502,"5A","5A"
1453,1522,"5A","5A"
1459,1498,"5A","5A"
1477,1520,"5A","5A"
1498,1520,"5A","5A"
1503,1539,"4A","4A"
1516,1522,"5A","5A"
1558,1564,"3B","3B"
1562,1570,"3B","3B"
1564,1574,"3B","3B"
1606,1616,"2A","2A"
1613,1616,"2A","2A"
1617,1641,"2A","2A"
1632,1818,"4B","4B"
1632,1866,"4B","4B"
1643,1648,"2A","2A"
1673,1698,"1B","1B"
1711,1759,"1A","1A"
1723,1822,"3A","3A"
1748,1822,"3A","3A"
1757,1792,"1A","1A"
1767,1787,"1A","1A"
1774,1775,"1A","1A"
1452,1459,"5A","5A"
1452,1477,"5A","5A"
1453,1493,"5A","5A"
1457,1468,"5A","5A"
1457,1522,"5A","5A"
1459,1498,"5A","5A"
1459,1520,"5A","5A"
1461,1479,"5A","5A"
1468,1516,"5A","5A"
1468,1522,"5A","5A"
1493,1502,"5A","5A"
1498,1520,"5A","5A"
1558,1564,"3B","3B"
1564,1574,"3B","3B"
1613,1616,"2A","2A"
1617,1911,"2A","2A"
1632,1818,"4B","4B"
1643,1648,"2A","2A"
1673,1698,"1B","1B"
1766,1772,"1A","1A"
1774,1775,"1A","1A"
1802,1805,"4B","4B"
1452,1477,"5A","5A"
1452,1520,"5A","5A"
1453,1457,"5A","5A"
1453,1493,"5A","5A"
1459,1498,"5A","5A"
1461,1479,"5A","5A"
1468,1502,"5A","5A"
1468,1522,"5A","5A"
1477,1483,"5A","5A"
1483,1520,"5A","5A"
1493,1502,"5A","5A"
1498,1520,"5A","5A"
1503,1539,"4A","4A"
1558,1564,"3B","3B"
1560,1570,"3B","3B"
1564,1574,"3B","3B"
1603,1643,"2A","2A"
1617,1641,"2A","2A"
1632,1818,"4B","4B"
1632,1866,"4B","4B"
1643,1648,"2A","2A"
1673,1698,"1B","1B"
1766,1772,"1A","1A"
1774,1775,"1A","1A"
1452,1477,"5A","5A"
1452,1520,"5A","5A"
1459,1498,"5A","5A"
1498,1520,"5A","5A"
1501,1502,"5A","5A"
1503,1545,"4A","4A"
1613,1616,"2A","2A"
1643,1648,"2A","2A"
1673,1698,"1B","1B"
1711,1759,"1A","1A"
1766,1772,"1A","1A"
1767,1787,"1A","1A"
1774,1775,"1A","1A"
1802,1805,"4B","4B"
1819,1836,"4B","4B"
1835,1857,"4B","4B"
1836,1866,"4B","4B"
1452,1458,"5A","5A"
1452,1520,"5A","5A"
1458,1493,"5A","5A"
1459,1498,"5A","5A"
1483,1520,"5A","5A"
1498,1520,"5A","5A"
1632,1818,"4B","4B"
1632,1866,"4B","4B"
1673,1698,"1B","1B"
1723,1822,"3A","3A"
1766,1772,"1A","1A"
1767,1787,"1A","1A"
1774,1775,"1A","1A"
1805,1831,"4B","4B"
1819,1866,"4B","4B"
1831,1866,"4B","4B"
1452,1458,"5A","5A"
1452,1477,"5A","5A"
